team,score,first_half_goals,formation_used,possession_percentage,shot_off_target,touches,total_pass,long_pass_own_to_opp_success,pen_area_entries,final_third_entries,total_fwd_zone_pass,total_final_third_passes,attempts_obox,attempts_ibox,total_offside,total_tackle,blocked_pass,interception,total_back_zone_pass,fk_foul_lost
Brighton and Hove Albion,1,0.0,433.0,31.7,4.0,475.0,313.0,35.0,17.0,38.0,193.0,87.0,5.0,6.0,1.0,19.0,15.0,10.0,130.0,5.0
Brighton and Hove Albion,1,0.0,4411.0,35.9,2.0,550.0,357.0,30.0,20.0,44.0,191.0,85.0,3.0,5.0,0.0,22.0,18.0,19.0,180.0,6.0
Brighton and Hove Albion,1,1.0,4411.0,40.8,6.0,553.0,360.0,37.0,24.0,65.0,243.0,130.0,5.0,8.0,3.0,17.0,14.0,8.0,132.0,13.0
Brighton and Hove Albion,0,0.0,4141.0,46.4,7.0,574.0,374.0,38.0,25.0,67.0,238.0,119.0,6.0,9.0,6.0,11.0,21.0,12.0,161.0,11.0
Brighton and Hove Albion,2,2.0,4411.0,31.9,5.0,494.0,287.0,30.0,23.0,56.0,195.0,110.0,5.0,8.0,6.0,21.0,21.0,13.0,108.0,13.0
Brighton and Hove Albion,4,1.0,4411.0,47.8,9.0,576.0,408.0,45.0,24.0,45.0,238.0,115.0,6.0,10.0,3.0,24.0,15.0,6.0,180.0,17.0
Brighton and Hove Albion,3,1.0,4411.0,54.4,11.0,635.0,452.0,40.0,32.0,71.0,318.0,169.0,7.0,14.0,3.0,8.0,19.0,6.0,155.0,11.0
Brighton and Hove Albion,0,2.0,532.0,41.7,5.0,543.0,362.0,38.0,34.0,53.0,221.0,116.0,3.0,7.0,4.0,11.0,22.0,13.0,170.0,12.0
Brighton and Hove Albion,2,1.0,4411.0,49.1,3.0,613.0,394.0,37.0,35.0,45.0,242.0,115.0,5.0,10.0,1.0,23.0,17.0,12.0,172.0,13.0
Brighton and Hove Albion,1,0.0,4411.0,51.7,8.0,641.0,426.0,49.0,26.0,64.0,261.0,132.0,6.0,8.0,6.0,14.0,16.0,12.0,186.0,8.0
Brighton and Hove Albion,0,0.0,4231.0,57.8,6.0,695.0,475.0,39.0,41.0,56.0,280.0,124.0,4.0,8.0,2.0,11.0,22.0,9.0,231.0,13.0
Brighton and Hove Albion,1,2.0,4411.0,42.8,3.0,626.0,489.0,41.0,20.0,65.0,233.0,116.0,5.0,6.0,2.0,18.0,9.0,12.0,269.0,8.0
Brighton and Hove Albion,0,0.0,4411.0,53.2,4.0,636.0,452.0,39.0,34.0,60.0,254.0,130.0,4.0,6.0,5.0,19.0,18.0,8.0,227.0,13.0
Brighton and Hove Albion,2,1.0,4411.0,53.8,6.0,635.0,462.0,42.0,28.0,67.0,286.0,136.0,5.0,4.0,3.0,14.0,15.0,15.0,199.0,13.0
Brighton and Hove Albion,1,1.0,4411.0,51.9,4.0,657.0,490.0,40.0,24.0,66.0,286.0,138.0,1.0,6.0,1.0,18.0,20.0,7.0,225.0,9.0
Brighton and Hove Albion,1,0.0,442.0,46.9,3.0,595.0,385.0,38.0,34.0,64.0,236.0,121.0,4.0,8.0,5.0,18.0,18.0,16.0,176.0,12.0
Brighton and Hove Albion,1,0.0,4411.0,48.8,2.0,629.0,438.0,32.0,28.0,58.0,264.0,128.0,2.0,5.0,1.0,16.0,15.0,11.0,195.0,6.0
Brighton and Hove Albion,3,1.0,4411.0,48.6,3.0,628.0,448.0,32.0,24.0,73.0,237.0,115.0,9.0,3.0,1.0,17.0,15.0,17.0,224.0,9.0
Brighton and Hove Albion,0,0.0,442.0,21.8,2.0,375.0,213.0,22.0,11.0,30.0,119.0,47.0,2.0,4.0,6.0,10.0,12.0,12.0,102.0,6.0
Brighton and Hove Albion,0,0.0,4231.0,27.7,0.0,432.0,275.0,24.0,11.0,44.0,130.0,67.0,2.0,0.0,1.0,17.0,15.0,9.0,157.0,6.0
Brighton and Hove Albion,1,1.0,451.0,26.2,3.0,454.0,301.0,24.0,16.0,36.0,123.0,43.0,2.0,4.0,2.0,14.0,4.0,16.0,187.0,7.0
Brighton and Hove Albion,0,0.0,4411.0,55.5,4.0,614.0,432.0,43.0,29.0,60.0,293.0,137.0,2.0,8.0,3.0,11.0,12.0,7.0,162.0,17.0
Brighton and Hove Albion,2,2.0,433.0,49.8,6.0,542.0,347.0,37.0,37.0,76.0,233.0,128.0,2.0,10.0,1.0,14.0,13.0,8.0,144.0,16.0
