team,score,first_half_goals,formation_used,possession_percentage,shot_off_target,touches,total_pass,long_pass_own_to_opp_success,pen_area_entries,final_third_entries,total_fwd_zone_pass,total_final_third_passes,attempts_obox,attempts_ibox,total_offside,total_tackle,blocked_pass,interception,total_back_zone_pass,fk_foul_lost
Crystal Palace,2,0.0,442.0,59.2,4.0,792.0,560.0,55.0,31.0,50.0,336.0,181.0,4.0,7.0,1.0,28.0,13.0,19.0,235.0,10.0
Crystal Palace,5,2.0,442.0,50.5,4.0,600.0,415.0,34.0,29.0,66.0,271.0,154.0,2.0,13.0,1.0,12.0,19.0,16.0,156.0,11.0
Crystal Palace,3,3.0,442.0,50.2,2.0,570.0,367.0,45.0,23.0,55.0,254.0,150.0,8.0,7.0,3.0,12.0,9.0,9.0,125.0,12.0
Crystal Palace,1,1.0,433.0,32.2,3.0,516.0,312.0,31.0,26.0,48.0,200.0,86.0,2.0,4.0,1.0,25.0,19.0,8.0,127.0,6.0
Crystal Palace,2,1.0,442.0,30.5,5.0,494.0,278.0,27.0,22.0,59.0,203.0,114.0,4.0,6.0,2.0,19.0,18.0,18.0,95.0,10.0
Crystal Palace,0,0.0,433.0,23.8,1.0,428.0,205.0,24.0,20.0,40.0,130.0,65.0,1.0,4.0,1.0,28.0,25.0,24.0,85.0,12.0
Crystal Palace,1,1.0,442.0,54.3,10.0,664.0,424.0,54.0,39.0,90.0,307.0,166.0,6.0,14.0,4.0,20.0,27.0,11.0,144.0,11.0
Crystal Palace,1,1.0,442.0,44.2,8.0,522.0,324.0,34.0,19.0,69.0,225.0,122.0,4.0,13.0,4.0,18.0,25.0,6.0,118.0,16.0
Crystal Palace,0,0.0,433.0,25.5,4.0,406.0,205.0,28.0,23.0,49.0,169.0,104.0,4.0,6.0,4.0,19.0,21.0,12.0,53.0,14.0
Crystal Palace,2,1.0,442.0,34.8,9.0,576.0,336.0,41.0,33.0,56.0,233.0,114.0,6.0,10.0,1.0,26.0,10.0,16.0,125.0,12.0
Crystal Palace,2,1.0,442.0,53.6,6.0,631.0,415.0,48.0,25.0,50.0,268.0,123.0,6.0,8.0,3.0,13.0,12.0,9.0,161.0,14.0
Crystal Palace,2,2.0,442.0,45.1,8.0,561.0,345.0,42.0,39.0,63.0,256.0,145.0,5.0,19.0,5.0,18.0,23.0,15.0,117.0,14.0
Crystal Palace,2,0.0,442.0,54.0,2.0,708.0,492.0,43.0,31.0,75.0,319.0,173.0,2.0,8.0,2.0,27.0,20.0,11.0,196.0,9.0
Crystal Palace,2,2.0,442.0,68.7,5.0,777.0,539.0,57.0,41.0,92.0,368.0,186.0,7.0,9.0,1.0,12.0,16.0,13.0,200.0,9.0
Crystal Palace,2,2.0,442.0,55.9,8.0,624.0,410.0,40.0,40.0,75.0,269.0,144.0,4.0,16.0,3.0,21.0,18.0,11.0,171.0,18.0
Crystal Palace,2,2.0,442.0,43.0,6.0,652.0,431.0,32.0,20.0,47.0,273.0,130.0,6.0,8.0,1.0,23.0,22.0,15.0,169.0,7.0
Crystal Palace,0,1.0,4411.0,45.6,9.0,601.0,410.0,46.0,34.0,79.0,296.0,157.0,4.0,10.0,1.0,15.0,19.0,7.0,136.0,14.0
Crystal Palace,0,1.0,352.0,53.1,12.0,674.0,504.0,46.0,40.0,77.0,325.0,169.0,9.0,7.0,3.0,16.0,10.0,14.0,201.0,9.0
Crystal Palace,0,2.0,3421.0,56.7,7.0,632.0,391.0,49.0,40.0,66.0,248.0,104.0,4.0,10.0,2.0,24.0,21.0,19.0,170.0,7.0
Crystal Palace,2,0.0,442.0,58.9,7.0,613.0,411.0,41.0,38.0,67.0,271.0,145.0,6.0,7.0,2.0,7.0,17.0,11.0,153.0,12.0
Crystal Palace,0,0.0,442.0,48.2,3.0,569.0,341.0,27.0,21.0,58.0,194.0,114.0,3.0,3.0,0.0,16.0,17.0,11.0,157.0,13.0
Crystal Palace,2,0.0,442.0,47.3,3.0,643.0,445.0,35.0,25.0,47.0,278.0,148.0,6.0,7.0,1.0,15.0,15.0,23.0,183.0,9.0
Crystal Palace,2,0.0,433.0,45.4,5.0,660.0,393.0,41.0,21.0,55.0,239.0,109.0,7.0,11.0,2.0,29.0,29.0,22.0,168.0,12.0
Crystal Palace,1,0.0,442.0,37.7,5.0,578.0,361.0,39.0,27.0,46.0,234.0,120.0,4.0,5.0,2.0,19.0,26.0,9.0,145.0,9.0
Crystal Palace,1,0.0,433.0,47.1,5.0,574.0,345.0,31.0,28.0,52.0,225.0,124.0,7.0,9.0,1.0,10.0,22.0,16.0,141.0,15.0
Crystal Palace,1,1.0,442.0,59.6,5.0,648.0,454.0,42.0,36.0,69.0,315.0,142.0,4.0,5.0,0.0,9.0,10.0,15.0,162.0,15.0
Crystal Palace,1,0.0,442.0,37.0,1.0,604.0,406.0,41.0,40.0,61.0,248.0,101.0,4.0,5.0,1.0,15.0,22.0,26.0,187.0,8.0
Crystal Palace,2,0.0,4231.0,38.9,4.0,559.0,350.0,38.0,30.0,56.0,240.0,114.0,5.0,6.0,0.0,15.0,21.0,15.0,127.0,11.0
Crystal Palace,1,0.0,442.0,35.7,4.0,551.0,336.0,30.0,19.0,42.0,204.0,99.0,5.0,8.0,1.0,21.0,16.0,16.0,144.0,11.0
Crystal Palace,3,0.0,442.0,43.9,3.0,587.0,368.0,42.0,20.0,60.0,272.0,131.0,3.0,10.0,0.0,25.0,18.0,16.0,108.0,13.0
Crystal Palace,0,0.0,442.0,48.9,3.0,592.0,380.0,34.0,28.0,64.0,267.0,127.0,3.0,7.0,1.0,15.0,15.0,9.0,135.0,10.0
Crystal Palace,0,0.0,442.0,46.8,5.0,586.0,405.0,40.0,26.0,54.0,230.0,102.0,5.0,5.0,0.0,9.0,13.0,13.0,191.0,8.0
Crystal Palace,0,0.0,442.0,31.6,5.0,474.0,268.0,28.0,19.0,45.0,172.0,81.0,4.0,7.0,4.0,19.0,11.0,16.0,112.0,7.0
Crystal Palace,0,0.0,442.0,44.7,7.0,568.0,365.0,41.0,27.0,56.0,235.0,116.0,3.0,7.0,0.0,16.0,26.0,11.0,148.0,14.0
Crystal Palace,0,0.0,433.0,40.7,4.0,582.0,377.0,35.0,32.0,48.0,234.0,125.0,2.0,4.0,1.0,20.0,27.0,14.0,164.0,9.0
Crystal Palace,0,0.0,4231.0,28.1,2.0,458.0,281.0,29.0,13.0,40.0,146.0,65.0,3.0,2.0,0.0,16.0,18.0,15.0,146.0,7.0
