team,score,first_half_goals,formation_used,possession_percentage,shot_off_target,touches,total_pass,long_pass_own_to_opp_success,pen_area_entries,final_third_entries,total_fwd_zone_pass,total_final_third_passes,attempts_obox,attempts_ibox,total_offside,total_tackle,blocked_pass,interception,total_back_zone_pass,fk_foul_lost
West Ham United,1,0.0,4231.0,63.0,6.0,655.0,480.0,38.0,21.0,56.0,290.0,134.0,7.0,3.0,1.0,15.0,16.0,6.0,200.0,16.0
West Ham United,3,3.0,4231.0,40.6,2.0,497.0,297.0,32.0,27.0,50.0,225.0,115.0,5.0,5.0,1.0,13.0,18.0,12.0,96.0,11.0
West Ham United,0,1.0,4231.0,53.2,7.0,637.0,427.0,28.0,51.0,76.0,303.0,167.0,6.0,15.0,5.0,19.0,20.0,7.0,165.0,7.0
West Ham United,3,1.0,4231.0,28.8,2.0,442.0,273.0,31.0,18.0,56.0,185.0,94.0,2.0,8.0,2.0,16.0,12.0,15.0,94.0,10.0
West Ham United,0,0.0,4231.0,42.2,2.0,536.0,357.0,24.0,28.0,50.0,219.0,99.0,4.0,3.0,1.0,15.0,20.0,7.0,160.0,8.0
West Ham United,3,2.0,442.0,33.7,5.0,481.0,257.0,23.0,33.0,53.0,174.0,88.0,4.0,10.0,1.0,16.0,23.0,10.0,106.0,8.0
West Ham United,3,2.0,4141.0,35.1,3.0,524.0,321.0,39.0,32.0,56.0,227.0,104.0,4.0,8.0,2.0,23.0,7.0,15.0,116.0,8.0
West Ham United,0,1.0,541.0,29.4,3.0,519.0,331.0,24.0,19.0,37.0,148.0,61.0,2.0,5.0,1.0,17.0,20.0,9.0,202.0,6.0
West Ham United,1,1.0,4411.0,48.8,4.0,645.0,435.0,53.0,30.0,72.0,303.0,127.0,2.0,10.0,3.0,16.0,9.0,9.0,159.0,11.0
West Ham United,4,3.0,4411.0,42.6,5.0,639.0,444.0,46.0,28.0,52.0,275.0,117.0,4.0,10.0,1.0,23.0,19.0,9.0,194.0,3.0
