team,score,first_half_goals,formation_used,possession_percentage,shot_off_target,touches,total_pass,long_pass_own_to_opp_success,pen_area_entries,final_third_entries,total_fwd_zone_pass,total_final_third_passes,attempts_obox,attempts_ibox,total_offside,total_tackle,blocked_pass,interception,total_back_zone_pass,fk_foul_lost
Brighton and Hove Albion,1,1.0,451.0,23.7,3.0,401.0,245.0,24.0,10.0,48.0,127.0,55.0,3.0,3.0,1.0,16.0,5.0,5.0,123.0,12.0
Brighton and Hove Albion,1,1.0,442.0,49.8,5.0,653.0,461.0,45.0,34.0,60.0,299.0,144.0,2.0,7.0,3.0,11.0,18.0,6.0,194.0,7.0
Brighton and Hove Albion,0,1.0,4231.0,63.9,8.0,744.0,520.0,65.0,47.0,75.0,309.0,139.0,7.0,7.0,2.0,18.0,13.0,8.0,232.0,11.0
Brighton and Hove Albion,0,1.0,433.0,50.1,3.0,645.0,470.0,33.0,30.0,69.0,315.0,145.0,7.0,1.0,1.0,19.0,24.0,9.0,174.0,10.0
Brighton and Hove Albion,0,0.0,433.0,60.2,9.0,741.0,525.0,52.0,34.0,61.0,298.0,150.0,8.0,6.0,6.0,20.0,25.0,14.0,248.0,8.0
Brighton and Hove Albion,1,0.0,433.0,52.7,6.0,697.0,455.0,42.0,28.0,75.0,291.0,146.0,6.0,8.0,3.0,22.0,20.0,10.0,183.0,11.0
Brighton and Hove Albion,1,1.0,433.0,68.2,4.0,729.0,519.0,52.0,55.0,66.0,342.0,166.0,3.0,13.0,1.0,11.0,15.0,11.0,218.0,8.0
Brighton and Hove Albion,0,0.0,433.0,55.1,13.0,699.0,456.0,51.0,43.0,61.0,302.0,134.0,8.0,13.0,4.0,21.0,13.0,20.0,181.0,15.0
Brighton and Hove Albion,0,0.0,451.0,29.1,5.0,458.0,301.0,29.0,22.0,47.0,172.0,77.0,2.0,5.0,5.0,12.0,16.0,13.0,143.0,15.0
Brighton and Hove Albion,1,0.0,451.0,44.8,3.0,587.0,349.0,23.0,31.0,64.0,232.0,110.0,3.0,8.0,2.0,23.0,9.0,6.0,134.0,10.0
Brighton and Hove Albion,1,1.0,451.0,32.0,8.0,480.0,324.0,32.0,28.0,52.0,209.0,101.0,5.0,7.0,1.0,19.0,15.0,13.0,131.0,10.0
Brighton and Hove Albion,1,2.0,4411.0,41.7,3.0,639.0,455.0,39.0,16.0,37.0,203.0,82.0,3.0,3.0,5.0,24.0,22.0,16.0,268.0,14.0
Brighton and Hove Albion,3,3.0,433.0,31.5,3.0,488.0,269.0,31.0,17.0,42.0,175.0,75.0,3.0,6.0,0.0,30.0,14.0,16.0,106.0,14.0
Brighton and Hove Albion,1,1.0,4411.0,54.6,8.0,628.0,431.0,37.0,26.0,43.0,252.0,117.0,5.0,9.0,5.0,19.0,26.0,12.0,204.0,10.0
Brighton and Hove Albion,1,0.0,4411.0,39.9,5.0,549.0,362.0,32.0,17.0,43.0,188.0,88.0,2.0,5.0,1.0,19.0,20.0,5.0,183.0,11.0
Brighton and Hove Albion,1,1.0,4411.0,35.4,4.0,469.0,282.0,33.0,16.0,47.0,185.0,92.0,3.0,6.0,5.0,17.0,15.0,12.0,108.0,12.0
Brighton and Hove Albion,1,1.0,4141.0,28.6,3.0,419.0,255.0,35.0,21.0,41.0,147.0,67.0,4.0,4.0,2.0,13.0,7.0,13.0,122.0,15.0
Brighton and Hove Albion,2,1.0,4411.0,41.5,7.0,560.0,370.0,36.0,37.0,51.0,237.0,118.0,3.0,12.0,2.0,17.0,18.0,18.0,162.0,12.0
Brighton and Hove Albion,3,3.0,4411.0,33.4,3.0,458.0,283.0,29.0,18.0,59.0,179.0,91.0,1.0,5.0,2.0,28.0,15.0,10.0,117.0,16.0
Brighton and Hove Albion,1,0.0,451.0,29.5,4.0,450.0,235.0,28.0,19.0,28.0,141.0,59.0,3.0,8.0,4.0,22.0,12.0,10.0,110.0,14.0
Brighton and Hove Albion,0,0.0,433.0,21.5,4.0,383.0,194.0,23.0,11.0,40.0,127.0,54.0,3.0,3.0,1.0,18.0,15.0,13.0,76.0,13.0
Brighton and Hove Albion,0,0.0,433.0,31.8,4.0,468.0,297.0,30.0,11.0,40.0,162.0,63.0,3.0,2.0,0.0,24.0,15.0,9.0,143.0,0.0
Brighton and Hove Albion,0,0.0,433.0,31.7,2.0,530.0,350.0,38.0,14.0,31.0,158.0,52.0,2.0,1.0,0.0,17.0,13.0,15.0,201.0,9.0
Brighton and Hove Albion,2,0.0,451.0,37.3,1.0,574.0,358.0,35.0,10.0,42.0,192.0,84.0,3.0,1.0,1.0,26.0,20.0,17.0,170.0,18.0
Brighton and Hove Albion,1,0.0,433.0,50.9,9.0,627.0,444.0,51.0,37.0,66.0,277.0,133.0,7.0,8.0,4.0,6.0,14.0,7.0,198.0,4.0
Brighton and Hove Albion,2,0.0,433.0,38.1,4.0,603.0,382.0,37.0,36.0,56.0,251.0,117.0,4.0,11.0,1.0,14.0,17.0,14.0,153.0,5.0
