team,score,first_half_goals,formation_used,possession_percentage,shot_off_target,touches,total_pass,long_pass_own_to_opp_success,pen_area_entries,final_third_entries,total_fwd_zone_pass,total_final_third_passes,attempts_obox,attempts_ibox,total_offside,total_tackle,blocked_pass,interception,total_back_zone_pass,fk_foul_lost
Arsenal,1,1.0,4312.0,70.5,5.0,783.0,564.0,38.0,51.0,52.0,410.0,210.0,7.0,13.0,2.0,11.0,18.0,9.0,195.0,9.0
Arsenal,2,1.0,3412.0,72.6,5.0,881.0,656.0,48.0,46.0,77.0,482.0,273.0,4.0,8.0,1.0,15.0,15.0,10.0,204.0,15.0
Arsenal,2,1.0,3421.0,70.6,1.0,882.0,700.0,58.0,41.0,70.0,457.0,217.0,1.0,6.0,2.0,13.0,20.0,9.0,261.0,11.0
Arsenal,2,1.0,3412.0,46.1,7.0,587.0,395.0,36.0,23.0,54.0,241.0,127.0,5.0,9.0,5.0,17.0,24.0,15.0,165.0,12.0
Arsenal,5,2.0,3421.0,64.8,4.0,822.0,650.0,40.0,25.0,46.0,353.0,186.0,4.0,12.0,4.0,7.0,26.0,8.0,313.0,11.0
Arsenal,2,2.0,4231.0,62.1,4.0,820.0,582.0,48.0,33.0,40.0,316.0,153.0,2.0,10.0,3.0,14.0,34.0,11.0,286.0,7.0
Arsenal,2,0.0,4312.0,70.9,5.0,785.0,590.0,52.0,33.0,41.0,349.0,209.0,4.0,11.0,1.0,13.0,15.0,7.0,252.0,14.0
Arsenal,2,2.0,41212.0,35.7,7.0,585.0,355.0,31.0,21.0,31.0,170.0,96.0,3.0,10.0,1.0,35.0,16.0,20.0,199.0,13.0
Arsenal,4,1.0,3421.0,59.6,4.0,743.0,542.0,44.0,38.0,55.0,306.0,179.0,4.0,16.0,4.0,15.0,20.0,12.0,252.0,7.0
Arsenal,3,1.0,4312.0,60.1,1.0,726.0,553.0,49.0,17.0,48.0,281.0,125.0,2.0,9.0,2.0,17.0,14.0,8.0,277.0,10.0
Arsenal,1,0.0,3142.0,61.9,8.0,716.0,525.0,49.0,33.0,56.0,269.0,136.0,6.0,8.0,2.0,17.0,22.0,11.0,272.0,13.0
Arsenal,4,1.0,343.0,59.3,11.0,707.0,477.0,41.0,29.0,41.0,228.0,114.0,9.0,13.0,5.0,27.0,23.0,12.0,271.0,15.0
Arsenal,1,1.0,4231.0,71.7,3.0,919.0,734.0,71.0,44.0,87.0,484.0,234.0,5.0,5.0,1.0,12.0,28.0,8.0,277.0,9.0
Arsenal,1,0.0,4231.0,61.8,5.0,785.0,586.0,47.0,39.0,54.0,295.0,159.0,3.0,9.0,7.0,20.0,19.0,12.0,307.0,7.0
Arsenal,3,1.0,4231.0,69.1,11.0,893.0,703.0,47.0,31.0,60.0,368.0,210.0,7.0,12.0,2.0,20.0,25.0,10.0,346.0,10.0
Arsenal,2,0.0,4231.0,63.5,6.0,740.0,542.0,42.0,30.0,59.0,336.0,170.0,3.0,6.0,1.0,10.0,24.0,7.0,228.0,11.0
Arsenal,2,0.0,4231.0,62.5,1.0,761.0,555.0,48.0,29.0,65.0,306.0,165.0,4.0,5.0,1.0,19.0,18.0,9.0,264.0,17.0
Arsenal,3,1.0,4231.0,61.5,2.0,734.0,544.0,53.0,33.0,49.0,344.0,155.0,8.0,9.0,3.0,15.0,23.0,6.0,221.0,16.0
Arsenal,0,1.0,4231.0,42.0,4.0,593.0,401.0,25.0,21.0,42.0,180.0,99.0,4.0,5.0,7.0,22.0,23.0,12.0,233.0,11.0
Arsenal,3,0.0,4231.0,60.3,4.0,714.0,533.0,37.0,33.0,43.0,264.0,138.0,5.0,12.0,0.0,11.0,13.0,6.0,294.0,3.0
Arsenal,0,0.0,442.0,32.8,3.0,491.0,293.0,26.0,28.0,58.0,170.0,91.0,1.0,5.0,3.0,16.0,23.0,13.0,137.0,13.0
Arsenal,1,0.0,4231.0,70.4,4.0,841.0,690.0,56.0,30.0,63.0,463.0,226.0,6.0,5.0,3.0,7.0,14.0,4.0,243.0,9.0
Arsenal,1,0.0,4231.0,65.9,6.0,839.0,660.0,52.0,26.0,62.0,412.0,184.0,6.0,13.0,4.0,12.0,17.0,15.0,261.0,8.0
Arsenal,0,0.0,3421.0,57.1,3.0,717.0,513.0,37.0,22.0,56.0,241.0,129.0,1.0,6.0,2.0,21.0,23.0,9.0,289.0,9.0
Arsenal,1,0.0,4231.0,39.8,2.0,514.0,334.0,24.0,21.0,54.0,197.0,101.0,2.0,7.0,1.0,23.0,24.0,14.0,150.0,14.0
Arsenal,2,0.0,343.0,45.4,4.0,637.0,410.0,44.0,17.0,33.0,181.0,76.0,0.0,9.0,1.0,18.0,28.0,21.0,235.0,12.0
Arsenal,1,1.0,442.0,41.2,0.0,598.0,432.0,25.0,12.0,43.0,222.0,89.0,2.0,2.0,0.0,9.0,20.0,16.0,217.0,8.0
Arsenal,0,0.0,3421.0,58.6,8.0,714.0,555.0,49.0,21.0,51.0,261.0,140.0,5.0,6.0,3.0,16.0,19.0,11.0,302.0,10.0
Arsenal,1,1.0,4231.0,52.1,3.0,717.0,551.0,47.0,21.0,53.0,245.0,116.0,3.0,5.0,5.0,17.0,12.0,12.0,316.0,13.0
Arsenal,1,1.0,41212.0,68.0,1.0,869.0,711.0,50.0,34.0,55.0,355.0,154.0,3.0,4.0,1.0,7.0,15.0,10.0,373.0,4.0
Arsenal,2,1.0,343.0,66.2,4.0,845.0,629.0,49.0,28.0,53.0,295.0,123.0,6.0,7.0,2.0,15.0,29.0,12.0,352.0,10.0
Arsenal,2,1.0,3421.0,55.2,0.0,726.0,545.0,37.0,30.0,38.0,277.0,145.0,3.0,6.0,3.0,12.0,17.0,7.0,281.0,10.0
Arsenal,2,1.0,3421.0,58.7,11.0,775.0,574.0,43.0,38.0,59.0,362.0,190.0,9.0,11.0,2.0,20.0,22.0,8.0,233.0,9.0
Arsenal,2,0.0,4231.0,57.8,3.0,760.0,555.0,44.0,13.0,40.0,278.0,102.0,3.0,4.0,0.0,25.0,18.0,14.0,287.0,16.0
Arsenal,5,1.0,442.0,51.1,2.0,699.0,504.0,48.0,23.0,38.0,232.0,106.0,3.0,6.0,1.0,21.0,16.0,14.0,279.0,12.0
Arsenal,2,0.0,4231.0,63.7,0.0,788.0,598.0,49.0,27.0,65.0,336.0,150.0,0.0,8.0,1.0,15.0,12.0,7.0,277.0,11.0
Arsenal,3,1.0,4231.0,72.3,4.0,814.0,635.0,48.0,38.0,54.0,369.0,169.0,6.0,11.0,1.0,11.0,18.0,11.0,285.0,14.0
Arsenal,2,2.0,4231.0,37.7,6.0,606.0,429.0,31.0,19.0,42.0,196.0,101.0,6.0,9.0,3.0,14.0,12.0,12.0,245.0,9.0
